Model,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Feature_Type,Image_Size,Notes
SVM,0.954986,0.954855,0.954986,0.954731,587.131058,0.042461,HOG,64x64,LinearSVC + StandardScaler + HOG
Logistic Regression,0.975899,0.975848,0.975899,0.975842,22.069676,0.148792,HOG,64x64,StandardScaler + HOG
Decision Tree,0.815991,0.816903,0.815991,0.815956,210.334674,0.036002,HOG,64x64,StandardScaler + HOG
Random Forest,0.970416,0.971047,0.970416,0.970279,660.524376,0.676929,HOG,64x64,300 Trees + StandardScaler + HOG
CNN,0.998597,0.998604,0.998597,0.998596,315.536235,2.801545,RGB Images,64x64,Custom CNN
MobileNetV2,0.828083,0.832807,0.828083,0.823385,905.970115,0.016488,Transfer Learning,224x224,Fine-Tuned MobileNetV2
VGG16,0.938146,0.941417,0.938146,0.937369,3844.617451,48.325886,Transfer Learning,224x224,Fine-Tuned VGG16
EfficientNetB0,0.785997,0.788196,0.785997,0.779994,956.264936,27.675438,Transfer Learning,224x224,Fine-Tuned EfficientNetB0
CNN_Tuned,0.996812,0.996835,0.996812,0.996811,315.54,2.8,RGB Images,64x64,Hyperparameter Tuned CNN
